,0,1
radical face>>welcome home  son,47.645927,-11.759511
alanis morissette>>ironic,-57.61474,31.34073
sigur rós>>hoppípolla,-40.85104,2.8376238
the animals>>the house of the rising sun,67.54335,7.14882
one direction>>what makes you beautiful,14.44195,-12.909511
britney spears>>work b**ch,13.93867,-14.949574
washed out>>feel it all around,-33.39209,-20.08684
amy winehouse>>you know im no good,53.475548,-36.79837
red hot chili peppers>>otherside,10.390659,64.47875
al green>>lets stay together,-42.989063,54.01186
justin timberlake>>cry me a river,2.6781735,-14.011594
the temptations>>my girl,-35.27377,57.556488
snoop dogg>>sweat snoop dogg vs. david guetta [remix],13.633554,5.6264806
green day>>wake me up when september ends,62.152153,-16.241732
guns n roses>>knockin on heavens door,-56.154682,33.069927
foo fighters>>walk,58.350582,-14.372264
p!nk>>try,13.725872,-6.6132555
kid cudi>>pursuit of happiness - extended steve aoki remix explicit,7.2791667,10.409837
lynyrd skynyrd>>free bird,-61.93024,-15.145028
the knife>>heartbeats,-39.32197,-2.2904127
foo fighters>>monkey wrench,-22.707355,59.53852
sia>>elastic heart,-5.911778,-8.342949
elton john>>your song,54.16879,-36.780655
mumford & sons>>sigh no more,31.24686,37.986935
of monsters and men>>king and lionheart,-31.002441,23.783178
muse>>knights of cydonia,-52.886375,34.26101
bon iver>>towers,47.70749,-3.2402925
extreme>>more than words,-35.40937,58.137684
lauryn hill>>doo wop that thing,-0.8135067,-11.059574
the smashing pumpkins>>bullet with butterfly wings,-14.060644,-61.78313
dire straits>>walk of life,62.442924,-16.04683
eminem>>till i collapse,17.438442,-28.481853
the dandy warhols>>bohemian like you,-11.911139,-61.23686
fugees>>killing me softly with his song,-9.397722,3.9560668
david guetta>>shot me down feat. skylar grey - radio edit,10.128388,8.19847
usher>>dj got us fallin in love,2.40838,-13.56154
coldplay>>speed of sound,37.06678,36.923203
duke dumont>>i got u,-15.011129,5.873012
taylor swift>>shake it off,9.609715,7.970398
disclosure>>you & me - flume remix,29.047329,-32.806175
mumford & sons>>awake my soul,-9.13055,-44.88242
neon indian>>polish girl,11.324952,46.07659
the fratellis>>chelsea dagger,-31.10569,-57.992176
oasis>>champagne supernova,-31.174847,-58.144478
